day,animalCount,grassCount,emptyFieldCount,mostPopularGenomeCount,averageLifeLength,averageEnergy
72,1694,5258,3569,4,14.9,17.1
73,1685,5259,3567,4,15.1,17.1
74,1668,5202,3624,4,15.4,17.3
75,1655,5184,3640,4,15.4,17.4
76,1642,5172,3686,4,15.6,17.5
77,1630,5141,3665,4,15.7,17.7
78,1627,5093,3759,4,15.8,17.7
79,1627,5067,3752,4,16.0,17.7
80,1620,5029,3799,4,16.1,17.8
81,1587,5018,3806,4,16.1,18.2
82,1588,5001,3841,4,16.2,18.2
83,1588,4995,3879,4,16.5,18.2
84,1594,5000,3878,4,16.6,18.1
85,1584,4999,3856,4,16.8,18.1
86,1580,4981,3872,4,17.1,18.2
87,1586,4946,3895,4,17.1,18.2
88,1578,4965,3884,4,17.2,18.2
89,1579,4942,3907,4,17.3,18.2
90,1583,4938,3935,4,17.3,18.2
91,1575,4904,3932,4,17.4,18.3
92,1575,4849,4008,4,17.6,18.4
93,1561,4842,3987,4,17.7,18.5
94,1572,4831,4026,4,17.8,18.4
95,1571,4795,4051,4,18.0,18.5
96,1575,4785,4056,4,18.1,18.4
97,1575,4742,4075,4,18.1,18.5
98,1570,4741,4110,4,18.3,18.5
99,1568,4706,4140,4,18.3,18.6
100,1577,4705,4140,4,18.4,18.5
101,1568,4679,4125,3,18.6,18.6
102,1561,4660,4180,4,18.6,18.7
103,1559,4647,4185,4,18.8,18.7
104,1548,4638,4176,4,18.9,18.9
105,1552,4627,4229,4,18.9,18.8
106,1545,4606,4234,4,19.0,19.0
107,1536,4588,4256,4,19.2,19.1
108,1523,4544,4293,3,19.3,19.4
109,1518,4570,4256,3,19.3,19.4
110,1513,4590,4286,3,19.5,19.4
111,1493,4621,4247,3,19.5,19.6
112,1493,4620,4267,3,19.5,19.7
113,1482,4642,4249,3,19.7,19.8
114,1479,4608,4249,3,19.8,20.0
115,1486,4618,4256,3,19.8,19.9
116,1484,4638,4257,3,20.0,19.9
117,1488,4644,4216,4,20.1,19.9
118,1507,4638,4217,4,20.1,19.7
119,1505,4657,4209,4,20.3,19.7
120,1518,4666,4192,4,20.4,19.5
121,1518,4660,4185,4,20.5,19.5
122,1514,4638,4221,4,20.8,19.6
123,1522,4613,4248,4,20.7,19.6
124,1531,4571,4271,4,20.8,19.6
125,1533,4555,4274,4,20.8,19.6
126,1538,4550,4295,4,20.8,19.5
127,1546,4521,4309,4,20.8,19.5
128,1544,4503,4344,4,20.9,19.5
129,1539,4483,4377,4,20.9,19.6
130,1528,4489,4353,4,21.0,19.8
131,1536,4508,4348,4,21.1,19.6
132,1540,4484,4357,4,21.2,19.6
133,1546,4468,4316,4,21.2,19.6
134,1545,4444,4393,4,21.3,19.6
135,1546,4445,4393,4,21.4,19.6
136,1533,4439,4402,4,21.5,19.8
137,1520,4453,4390,4,21.6,19.9
138,1532,4429,4392,4,21.6,19.8
139,1545,4428,4443,4,21.6,19.7
140,1541,4423,4409,4,21.6,19.7
141,1557,4437,4407,4,21.7,19.5
142,1558,4455,4409,4,21.7,19.4
143,1548,4457,4361,4,21.9,19.5
144,1551,4446,4377,4,21.9,19.5
145,1544,4434,4386,4,22.0,19.6
146,1539,4374,4448,4,22.1,19.8
147,1534,4391,4442,4,22.1,19.8
148,1541,4392,4475,5,22.1,19.7
149,1537,4419,4431,5,22.3,19.7
150,1553,4421,4402,5,22.3,19.5
151,1552,4440,4412,5,22.3,19.5
152,1530,4423,4410,5,22.5,19.8
153,1524,4408,4424,5,22.5,19.9
154,1520,4379,4457,5,22.5,20.0
155,1523,4366,4481,5,22.6,20.0
156,1522,4358,4476,5,22.6,20.1
157,1521,4386,4457,4,22.7,20.0
158,1511,4394,4471,4,22.9,20.2
159,1515,4377,4456,4,22.9,20.2
160,1510,4344,4488,4,22.9,20.3
161,1507,4348,4499,4,23.0,20.4
162,1503,4358,4488,4,22.9,20.4
163,1509,4320,4527,4,23.0,20.4
164,1502,4332,4519,4,23.1,20.5
165,1507,4361,4474,4,23.1,20.4
166,1511,4378,4429,4,23.1,20.3
167,1525,4375,4473,4,23.3,20.2
168,1522,4385,4444,4,23.3,20.2
169,1522,4394,4460,4,23.3,20.2
170,1510,4372,4459,4,23.4,20.4
171,1525,4371,4482,4,23.4,20.2
172,1534,4388,4468,4,23.5,20.1
173,1541,4391,4468,4,23.6,20.0
174,1541,4379,4453,4,23.6,20.0
175,1533,4375,4466,4,23.6,20.1
176,1529,4398,4447,4,23.7,20.1
177,1535,4381,4457,4,23.8,20.1
178,1530,4381,4472,4,23.8,20.2
179,1513,4388,4446,4,23.9,20.4
180,1514,4393,4438,4,23.9,20.4
181,1505,4363,4482,4,24.0,20.6
182,1508,4392,4485,4,24.0,20.5
183,1500,4401,4431,4,24.0,20.6
184,1501,4407,4445,4,24.0,20.6
185,1490,4388,4435,4,24.1,20.8
186,1496,4366,4502,4,24.2,20.8
187,1493,4339,4480,4,24.2,20.9
188,1489,4339,4510,4,24.2,21.0
189,1492,4332,4544,4,24.2,21.0
190,1500,4337,4529,4,24.3,20.9
191,1500,4311,4547,4,24.3,21.0
192,1514,4292,4547,4,24.3,20.9
193,1492,4288,4560,4,24.3,21.2
194,1505,4296,4571,5,24.4,21.0
195,1516,4292,4553,5,24.4,20.9
196,1526,4302,4554,5,24.4,20.7
197,1521,4314,4505,5,24.5,20.8
198,1526,4338,4478,5,24.5,20.7
199,1526,4296,4543,5,24.5,20.8
200,1529,4278,4538,5,24.5,20.8
201,1539,4274,4557,5,24.5,20.7
202,1545,4294,4559,5,24.5,20.5
203,1545,4294,4555,5,24.6,20.5
204,1532,4287,4551,5,24.6,20.7
205,1531,4286,4549,5,24.6,20.7
206,1533,4307,4521,5,24.6,20.7
207,1541,4263,4590,5,24.7,20.6
208,1529,4265,4569,5,24.7,20.8
209,1520,4257,4576,5,24.8,21.0
210,1510,4272,4575,5,24.7,21.1
211,1537,4287,4568,5,24.8,20.7
212,1537,4293,4565,5,24.8,20.7
213,1535,4287,4563,5,24.8,20.7
214,1541,4281,4567,5,24.8,20.7
215,1534,4263,4574,5,24.8,20.8
216,1527,4266,4543,6,24.9,20.9
217,1524,4267,4583,6,24.9,20.9
218,1522,4281,4570,6,24.9,20.9
219,1516,4253,4566,6,24.9,21.1
220,1506,4229,4616,5,24.8,21.3
221,1511,4235,4622,5,24.9,21.2
222,1516,4237,4611,5,24.9,21.2
223,1517,4223,4594,5,24.9,21.2
224,1509,4209,4626,5,25.1,21.3
225,1502,4198,4634,5,25.1,21.5
226,1505,4227,4628,5,25.1,21.4
227,1497,4241,4622,5,25.2,21.5
228,1496,4242,4609,5,25.2,21.6
229,1490,4248,4611,5,25.2,21.7
230,1485,4220,4629,5,25.3,21.8
231,1480,4212,4628,5,25.3,21.9
232,1461,4214,4640,4,25.3,22.3
233,1468,4228,4637,4,25.4,22.2
234,1484,4204,4678,4,25.4,22.0
235,1496,4185,4655,4,25.4,21.9
236,1499,4173,4678,4,25.5,21.9
237,1505,4141,4696,4,25.5,21.9
238,1525,4130,4705,4,25.5,21.7
239,1527,4120,4676,4,25.6,21.7
240,1544,4091,4737,5,25.6,21.5
241,1548,4111,4684,5,25.6,21.4
242,1557,4108,4712,5,25.7,21.3
243,1558,4114,4689,5,25.7,21.2
244,1558,4094,4696,5,25.7,21.3
245,1554,4100,4698,5,25.8,21.3
246,1561,4110,4720,5,25.8,21.2
247,1568,4104,4705,5,25.8,21.1
248,1569,4087,4702,5,25.9,21.1
249,1566,4122,4691,5,25.9,21.0
250,1584,4129,4662,5,26.0,20.7
251,1584,4128,4671,5,25.9,20.7
252,1567,4090,4695,5,26.0,21.0
253,1564,4090,4720,5,26.0,21.0
254,1567,4102,4711,5,26.0,20.9
255,1567,4093,4705,5,26.0,20.9
256,1572,4067,4744,5,26.0,20.9
257,1559,4071,4724,5,26.0,21.0
258,1557,4048,4736,5,26.0,21.1
259,1557,4075,4732,5,26.0,21.0
260,1559,4096,4702,5,26.1,21.0
261,1565,4121,4693,5,26.1,20.8
262,1570,4122,4701,5,26.1,20.7
263,1556,4116,4687,5,26.2,20.9
264,1550,4089,4718,5,26.2,21.1
265,1563,4106,4715,5,26.2,20.8
266,1551,4113,4709,5,26.3,21.0
267,1541,4085,4746,5,26.3,21.2
268,1540,4105,4712,5,26.2,21.1
269,1531,4093,4712,5,26.2,21.3
270,1527,4100,4715,5,26.2,21.3
271,1520,4140,4708,5,26.3,21.4
272,1515,4110,4718,5,26.3,21.5
273,1512,4093,4745,5,26.3,21.6
274,1504,4088,4750,5,26.4,21.7
275,1508,4099,4736,5,26.4,21.7
276,1508,4105,4721,5,26.4,21.7
277,1512,4120,4704,5,26.4,21.6
278,1517,4129,4697,5,26.4,21.5
279,1523,4131,4684,5,26.5,21.5
280,1524,4109,4716,5,26.5,21.5
281,1517,4127,4695,5,26.5,21.6
282,1522,4144,4705,5,26.5,21.5
283,1523,4132,4690,5,26.5,21.5
284,1516,4144,4680,5,26.6,21.6
285,1504,4189,4654,5,26.6,21.7
286,1504,4187,4646,5,26.6,21.7
287,1509,4164,4661,5,26.6,21.7
288,1515,4167,4676,5,26.6,21.6
289,1511,4145,4701,5,26.6,21.7
290,1512,4155,4694,5,26.6,21.7
291,1510,4192,4670,5,26.6,21.7
292,1522,4187,4664,5,26.7,21.6
293,1526,4197,4616,5,26.7,21.5
294,1539,4216,4637,5,26.7,21.3
295,1530,4219,4604,5,26.8,21.4
296,1540,4211,4609,5,26.8,21.3
297,1527,4206,4616,5,26.8,21.5
298,1522,4205,4614,5,26.8,21.5
299,1521,4183,4657,5,26.8,21.6
300,1524,4161,4654,5,26.9,21.6
301,1521,4167,4640,5,26.9,21.7
302,1520,4129,4707,5,26.9,21.8
303,1518,4128,4695,5,26.9,21.8
304,1517,4125,4695,5,26.9,21.8
305,1530,4109,4729,5,26.9,21.7
306,1532,4119,4704,5,26.9,21.6
307,1532,4082,4748,5,26.9,21.7
308,1539,4081,4740,5,27.0,21.6
309,1545,4085,4723,5,27.1,21.5
310,1538,4090,4743,5,27.1,21.6
311,1544,4074,4721,5,27.1,21.6
312,1548,4072,4737,5,27.1,21.5
313,1539,4065,4715,5,27.1,21.6
314,1534,4063,4743,5,27.1,21.7
315,1528,4053,4787,5,27.1,21.8
