day,animalCount,grassCount,emptyFieldCount,mostPopularGenomeCount,averageLifeLength,averageEnergy
0,1000,3237,5896,3,-1.0,4.8
1,1000,3434,5692,3,-1.0,4.7
2,1001,3639,5498,3,-1.0,4.6
3,1004,3819,5317,3,-1.0,4.5
4,1005,4000,5121,3,-1.0,4.5
5,771,4237,5090,3,5.0,5.9
6,775,4453,4900,3,5.0,5.9
7,779,4646,4693,3,5.0,6.1
8,658,4876,4570,3,6.0,7.5
9,664,5117,4335,3,6.0,7.6
10,669,5312,4139,3,6.0,7.9
11,609,5514,3978,2,6.8,9.1
12,616,5716,3778,3,6.8,9.5
13,623,5905,3588,3,6.8,9.9
14,600,6089,3439,3,7.2,10.9
15,607,6269,3257,3,7.2,11.3
16,612,6444,3063,3,7.2,11.8
17,604,6621,2917,3,7.5,12.6
18,616,6785,2733,3,7.5,13.0
19,623,6944,2597,3,7.5,13.5
20,621,7093,2448,3,7.9,14.3
21,639,7226,2306,3,7.9,14.6
22,655,7339,2199,3,7.9,15.1
23,656,7438,2091,3,8.2,15.9
24,676,7541,1990,3,8.2,16.2
25,694,7622,1905,3,8.2,16.7
26,705,7695,1808,3,8.3,17.2
27,718,7740,1764,3,8.4,17.8
28,735,7754,1760,3,8.4,18.4
29,747,7781,1707,3,8.6,19.1
30,765,7824,1668,3,8.6,19.4
31,783,7821,1631,3,8.6,19.9
32,807,7813,1653,3,8.7,20.3
33,836,7798,1644,3,8.7,20.5
34,862,7771,1650,3,8.7,20.7
35,890,7744,1661,3,8.9,20.9
36,918,7691,1690,3,8.9,21.1
37,960,7666,1711,3,8.9,20.8
38,988,7647,1717,3,9.0,20.9
39,1029,7595,1749,3,9.0,20.7
40,1071,7526,1796,3,9.0,20.5
41,1098,7442,1856,3,9.1,20.6
42,1137,7345,1903,3,9.1,20.5
43,1167,7253,1976,3,9.3,20.6
44,1198,7143,2057,3,9.5,20.6
45,1244,7070,2117,3,9.5,20.3
46,1284,6993,2171,4,9.6,20.0
47,1317,6911,2228,4,9.8,19.9
48,1365,6809,2297,4,9.9,19.5
49,1399,6717,2341,4,9.9,19.4
50,1433,6634,2415,4,10.3,19.2
51,1484,6536,2481,4,10.3,18.8
52,1524,6445,2547,4,10.5,18.5
53,1555,6352,2572,4,10.7,18.3
54,1592,6257,2699,4,10.9,18.0
55,1624,6192,2764,4,11.0,17.8
56,1656,6120,2792,4,11.5,17.5
57,1682,6046,2829,4,11.6,17.3
58,1701,5971,2894,4,11.8,17.1
59,1697,5906,2946,4,12.4,17.2
60,1719,5823,3042,4,12.5,17.0
61,1715,5726,3072,4,12.6,17.2
62,1732,5690,3145,4,13.1,17.0
63,1740,5597,3225,4,13.3,16.9
64,1731,5542,3290,4,13.4,17.0
65,1735,5503,3332,4,13.7,16.9
66,1720,5433,3404,5,13.8,17.1
67,1710,5405,3408,5,13.9,17.2
68,1691,5362,3446,4,14.1,17.3
69,1705,5350,3462,4,14.3,17.1
70,1714,5274,3518,4,14.4,17.1
71,1707,5267,3545,4,14.7,17.1
